CustomerID,Recency_Days,Frequency_Count,Monetary_Value,R_score,F_score,M_score,RFM_Score,Segment
18102,5,18,91637.96,1,1,1,111,"🛑 At Risk"
14156,2,25,71887.07,1,1,1,111,"🛑 At Risk"
14646,6,12,58551.39,1,1,1,111,"🛑 At Risk"
13694,19,25,41683.05,2,1,1,211,"🛑 At Risk"
13902,7,4,27228.96,1,1,1,111,"🛑 At Risk"
14911,3,31,25547.89,1,1,1,111,"🛑 At Risk"
15311,5,34,20729.90,1,1,1,111,"🛑 At Risk"
17949,5,23,18265.68,1,1,1,111,"🛑 At Risk"
15061,7,15,17860.50,1,1,1,111,"🛑 At Risk"
17511,7,4,15763.00,1,1,1,111,"🛑 At Risk"
17850,38,33,15480.18,4,1,1,411,Others
16029,5,14,14592.56,1,1,1,111,"🛑 At Risk"
16779,20,11,12139.59,2,1,1,211,"🛑 At Risk"
14527,6,18,9569.19,1,1,1,111,"🛑 At Risk"
14063,33,7,9471.50,3,1,1,311,Others
13089,8,15,9146.70,1,1,1,111,"🛑 At Risk"
13777,14,7,8044.96,2,1,1,211,"🛑 At Risk"
14031,6,8,7109.99,1,1,1,111,"🛑 At Risk"
13081,9,3,6973.42,1,1,1,111,"🛑 At Risk"
15413,38,5,6798.72,4,1,1,411,Others
16684,23,5,6767.40,2,1,1,211,"🛑 At Risk"
13093,1,9,6766.67,1,1,1,111,"🛑 At Risk"
15769,9,3,6765.00,1,1,1,111,"🛑 At Risk"
13408,2,10,6663.15,1,1,1,111,"🛑 At Risk"
14160,1,4,6617.24,1,1,1,111,"🛑 At Risk"
17920,22,9,6568.76,2,1,1,211,"🛑 At Risk"
17841,2,22,6503.85,1,1,1,111,"🛑 At Risk"
14258,9,4,6221.48,1,1,1,111,"🛑 At Risk"
16705,24,4,6091.92,3,1,1,311,Others
13798,7,10,6080.44,1,1,1,111,"🛑 At Risk"
13340,2,2,6045.54,1,2,1,121,"🛑 At Risk"
14680,2,10,5715.82,1,1,1,111,"🛑 At Risk"
14091,45,1,5520.00,4,4,1,441,"💎 Loyal Customers"
15768,7,10,5390.72,1,1,1,111,"🛑 At Risk"
17243,3,14,5294.92,1,1,1,111,"🛑 At Risk"
12539,63,2,5149.06,4,2,1,421,Others
14607,19,4,5111.91,2,1,1,211,"🛑 At Risk"
13206,6,7,5044.23,1,1,1,111,"🛑 At Risk"
13680,6,5,4869.84,1,1,1,111,"🛑 At Risk"
15808,5,5,4836.65,1,1,1,111,"🛑 At Risk"
13767,6,8,4682.14,1,1,1,111,"🛑 At Risk"
12471,15,13,4670.81,2,1,1,211,"🛑 At Risk"
14606,3,23,4586.98,1,1,1,111,"🛑 At Risk"
17230,10,6,4514.14,1,1,1,111,"🛑 At Risk"
17940,29,2,4429.35,3,2,1,321,Others
15856,20,6,4373.20,2,1,1,211,"🛑 At Risk"
17865,28,7,4312.54,3,1,1,311,Others
13078,8,8,4102.23,1,1,1,111,"🛑 At Risk"
15251,7,2,4026.94,1,2,1,121,"🛑 At Risk"
12748,2,21,4010.73,1,1,1,111,"🛑 At Risk"
15498,3,2,3943.92,1,2,1,121,"🛑 At Risk"
14439,30,2,3939.08,3,2,1,321,Others
12921,7,7,3873.87,1,1,1,111,"🛑 At Risk"
15823,76,2,3867.17,5,2,1,521,"⚠️ Big Spenders Slipping"
17677,26,5,3677.05,3,1,1,311,Others
12949,6,4,3669.03,1,1,1,111,"🛑 At Risk"
